feature,importance,cumulative_importance
Commodity_French Beans (Frasbean),1.3642092626963173e-06,0.9999937596212973
Commodity_Peach,1.299150091797779e-06,0.9999950587713892
Commodity_Pineapple,7.348614667424556e-07,0.999995793632856
Commodity_Green Peas,6.618041828219515e-07,0.9999964554370387
Commodity_Peas cod,5.834615791927539e-07,0.9999970388986179
Commodity_Peas Wet,5.175520185957275e-07,0.9999975564506365
Commodity_Masur Dal,4.984443155019344e-07,0.999998054894952
Commodity_Kabuli Chana(Chickpeas-White),3.6660726729384416e-07,0.9999984215022193
Commodity_Barley (Jau),3.357883971427021e-07,0.9999987572906164
Commodity_Ber(Zizyphus/Borehannu),2.446723285808462e-07,0.999999001962945
Commodity_Spinach,2.3174034397034968e-07,0.999999233703289
Commodity_Indian Beans (Seam),2.169319466414743e-07,0.9999994506352357
Commodity_Round gourd,1.0386575892145402e-07,0.9999995545009945
Commodity_Maize,9.929739789604815e-08,0.9999996537983924
Commodity_Toria,9.586506465838715e-08,0.9999997496634571
Commodity_Long Melon(Kakri),8.913037642543874e-08,0.9999998387938335
Commodity_Karbuja(Musk Melon),5.0093652514147987e-08,0.999999888887486
Commodity_Bajra(Pearl Millet/Cumbu),3.5068000681088605e-08,0.9999999239554868
Commodity_Paddy(Dhan)(Common),2.663605685546241e-08,0.9999999505915436
Commodity_Papaya (Raw),1.72677011582325e-08,0.9999999678592447
Commodity_Paddy(Dhan)(Basmati),1.6474748132701207e-08,0.9999999843339928
Commodity_Elephant Yam (Suran),8.79298393715209e-09,0.9999999931269767
Commodity_Leafy Vegetable,6.873023640697851e-09,1.0000000000000004
Commodity_Bengal Gram Dal (Chana Dal),0.0,1.0000000000000004
Commodity_Kinnow,0.0,1.0000000000000004
Commodity_Mango (Raw-Ripe),0.0,1.0000000000000004
Commodity_Onion Green,0.0,1.0000000000000004
Commodity_Methi(Leaves),0.0,1.0000000000000004
Commodity_Snakeguard,0.0,1.0000000000000004
Commodity_Sweet Potato,0.0,1.0000000000000004
Commodity_White Pumpkin,0.0,1.0000000000000004
